point_id,category,priority,title,point
1,Definition,5,Digital Computer,Digital computer works on binary number system.
2,Definition,5,Binary Digit,Bit is the smallest unit of storage.
3,Fact,5,Byte,1 Byte = 8 bits.
4,Fact,5,Kilobyte,1 KB = 1024 Bytes.
5,Fact,4,Terabyte,1 TB = 1024 GB.
6,Fact,4,Petabyte,1 PB = 1024 TB.
7,Important Point,5,Clock Speed,Computer clock speed is measured in GHz.
8,Concept,4,Multimedia,Computers support text image audio video and interactive content.
9,Definition,5,Computer,Computer is an electronic device operating under stored instructions.
10,Definition,5,Computer Function,Computer accepts data processes it and produces output.
11,Definition,5,Computer Function,Computer stores results in temporary or permanent media.
12,Classification,4,Personal Computer,Desktop and laptop are standard personal computers.
13,Classification,4,Mobile Computing,Tablet and smartphone are touch-based computing devices.
14,Fact,3,Mobile OS,Android and iOS are common mobile operating systems.
15,Definition,4,Workstation,Workstation is a powerful computer for engineering applications.
16,Fact,4,Workstation Use,CAD CAM simulation and 3D modelling use workstations.
17,Definition,4,Server,Server provides services to other computers over a network.
18,Classification,4,Server Types,Database server is a type of server.
19,Classification,4,Server Types,Application server is a type of server.
20,Classification,4,Server Types,Web server is a type of server.
21,Classification,4,Server Types,Mail server is a type of server.
22,Classification,4,Server Types,File server is a type of server.
23,Classification,4,Server Types,Virtualization server is a type of server.
24,Definition,4,Edge Computing,Edge devices process data close to production systems.
25,Concept,4,Edge Computing,Edge computing reduces latency.
26,Definition,4,Mainframe,Mainframes handle bulk transaction processing.
27,Fact,3,Mainframe Usage,Banking and insurance use mainframes.
28,Definition,5,Supercomputer,Supercomputer uses many processors working in parallel.
29,Exam Point,5,Indian Supercomputer,PARAM Siddhi-AI is among Asia's fastest supercomputers.
30,Fact,4,Supercomputer Uses,Weather forecasting uses supercomputers.
31,Fact,4,Supercomputer Uses,AI research uses supercomputers.
32,Fact,4,Supercomputer Uses,Material science simulation uses supercomputers.
33,Important Point,5,Computer Characteristics,Speed is a key characteristic of computers.
