point_id,category,priority,title,point
1,Definition,5,Suggestion Scheme,Promotes creativity through constructive thinking
2,Important Point,5,Suggestion Scheme,Recognizes individual ingenuity
3,Important Point,5,Suggestion Scheme,Encourages participation in company development
4,Definition,5,Suggestion,Idea related to plant improvement
5,Classification,5,Suggestion Scope,Cost reduction suggestions accepted
6,Classification,5,Suggestion Scope,Waste reduction suggestions accepted
7,Classification,5,Suggestion Scope,Spillage reduction suggestions accepted
8,Classification,5,Suggestion Scope,Maintenance reduction suggestions accepted
9,Classification,5,Suggestion Scope,Hazard reduction suggestions accepted
10,Classification,5,Suggestion Scope,Accident prevention suggestions accepted
11,Classification,5,Suggestion Scope,Utility increase suggestions accepted
12,Classification,5,Suggestion Scope,Quality improvement suggestions accepted
13,Classification,5,Suggestion Scope,Yield improvement suggestions accepted
14,Classification,5,Suggestion Scope,Output increase suggestions accepted
15,Classification,5,Suggestion Scope,Material conservation accepted
16,Classification,5,Suggestion Scope,Energy conservation accepted
17,Classification,5,Suggestion Scope,Power conservation accepted
18,Classification,5,Suggestion Scope,Time conservation accepted
19,Classification,5,Suggestion Scope,Product improvement accepted
20,Classification,5,Suggestion Scope,Product design improvement accepted
21,Classification,5,Suggestion Scope,Work rationalisation accepted
22,Classification,5,Suggestion Scope,Material rationalisation accepted
23,Classification,5,Suggestion Scope,Method rationalisation accepted
24,Classification,5,Suggestion Scope,Practice simplification accepted
25,Classification,5,Suggestion Scope,Procedure simplification accepted
26,Classification,5,Suggestion Scope,Process simplification accepted
27,Classification,4,Suggestion Scope,Advertising improvement accepted
28,Classification,4,Suggestion Scope,Sales improvement accepted
29,Classification,4,Suggestion Scope,New revenue source suggestions accepted
30,Classification,4,Suggestion Scope,Traffic improvement accepted
31,Classification,4,Suggestion Scope,Hygiene improvement accepted
32,Classification,4,Suggestion Scope,Cleanliness improvement accepted
33,Exception,5,Outside Scope,Organization matters excluded
34,Exception,5,Outside Scope,Industrial relations matters excluded
35,Exception,5,Outside Scope,Collective bargaining matters excluded
36,Exception,5,Outside Scope,Machine replacement excluded
37,Exception,5,Outside Scope,Equipment replacement excluded
38,Exception,4,Outside Scope,Extension of existing practices excluded
39,Exception,4,Outside Scope,Extension of existing equipment excluded
40,Exception,4,Outside Scope,Pending management items excluded
41,Exception,5,Outside Scope,Company policy matters excluded
42,Fact,4,Awards,Cash award possible
43,Fact,4,Awards,Token gift possible
44,Fact,4,Awards,Letter of appreciation possible
45,Fact,4,Awards,Certificate of merit possible
46,Fact,4,Recognition,Deserving suggestions receive publicity
47,Exam Point,5,Awards,Prime Minister’s Shram Awards referenced
48,Exam Point,5,Awards,Viswakarma Rashtriya Puraskar referenced
49,Important Point,5,Benefits,Develops problem-solving methodology
50,Important Point,5,Benefits,Increases production
51,Important Point,5,Benefits,Increases productivity
52,Important Point,5,Benefits,Enhances motivation
53,Important Point,5,Benefits,Improves quality
54,Important Point,5,Benefits,Improves employer-employee relations
55,Important Point,5,Benefits,Improves employee involvement
56,Definition,5,Business Excellence,Outstanding management practices
57,Definition,5,Business Excellence,Focuses on continuous improvement
58,Concept,4,Business Excellence,Applicable to public organizations
59,Concept,4,Business Excellence,Applicable to private organizations
60,Concept,4,Business Excellence,Applicable to small organizations
61,Concept,4,Business Excellence,Applicable to large organizations
62,Classification,5,BE,TQM is a BE practice
63,Classification,5,BE,Six Sigma is a BE practice
64,Classification,4,BE,Business Improvement is a BE practice
65,Classification,4,BE,Process Improvement is a BE practice
66,Classification,4,BE,Business Transformation is a BE practice
