1,"SAIL occupies which position in the Indian Iron and Steel Industry?","A pre-eminent position","A regional position","A minor position","A private sector position","A","The chapter states that SAIL occupies a pre-eminent position in the Indian Iron and Steel Industry."
2,"SAIL primarily produces hundreds of items of which type of steel?","Plain carbon steel","Tool steel","Titanium steel","Spring steel","A","SAIL mainly produces hundreds of plain carbon steel products."
3,"SAIL markets most of its steel products through a network of?","Stockyards","Retail malls","Ports","Export houses","A","The chapter states that SAIL markets its products largely through a network of stockyards."
4,"Apart from steel products, SAIL plants also manufacture?","Coal chemicals and by-products","Automobiles","Heavy machinery","Fertilizers","A","The integrated steel plants also produce coal chemicals and other by-products."
5,"Besides plain carbon steel, SAIL also supplies?","Alloy steel and stainless steel","Only pig iron","Only cast iron","Only galvanized sheets","A","The chapter specifically mentions alloy steels and stainless steel."
6,"Being a Public Sector Company, SAIL has?","High obligations toward stakeholders","No government obligations","Limited public accountability","Complete operational independence","A","SAIL has greater obligations because it is a PSU."
7,"Government approvals were mandatory in most SAIL activities until?","Steel pricing was decontrolled","The first steel plant was built","Privatization began","Coal imports stopped","A","The chapter mentions that approvals were mandatory until steel pricing was decontrolled."
8,"The Memorandum of Understanding (MOU) is signed between SAIL and the?","Department of Steel","Ministry of Railways","Coal India Limited","NITI Aayog","A","The MOU with the Department of Steel grants higher functional autonomy."
9,"The MOU with the Department of Steel mainly provides SAIL with?","Greater functional autonomy","Complete privatization","Tax exemption","Foreign ownership","A","The MOU increases both autonomy and responsibility."
10,"Revision in the distribution policy mainly increased SAIL's?","Functional autonomy","Import dependence","Foreign ownership","Export duties","A","Distribution policy revisions enhanced SAIL's autonomy."
11,"Which policy is specifically mentioned as influencing SAIL's business environment?","Industrial Policy","Education Policy","Tourism Policy","Sports Policy","A","Industrial Policy is one of the major influencing policies."
12,"Which policy directly affects SAIL's business environment?","Fiscal Policy","Language Policy","Health Policy","Cultural Policy","A","Fiscal Policy is specifically listed."
13,"Which policy influences SAIL's operations related to international trade?","Foreign Trade Policy","Housing Policy","Transport Policy","Tourism Policy","A","Foreign Trade Policy determines part of SAIL's business environment."
14,"Which policy is mentioned among the important government policies affecting SAIL?","Licensing Policy","Water Policy","Forest Policy","Media Policy","A","Licensing Policy is one of the listed policies."
15,"Plan Targets mainly influence SAIL's?","Business environment","Employee salaries","Building construction","Advertising campaigns","A","Plan targets shape the company's operating environment."
16,"Which of the following also affects SAIL's performance?","Pollution control policy","Cinema policy","Sports quota","Broadcasting policy","A","Pollution control policies directly affect SAIL."
17,"Peripheral development policies have a bearing on?","SAIL's activities","Weather forecasting","Export documentation","Bank lending","A","Peripheral development is listed among influencing policies."
18,"Which is NOT an area of interaction mentioned in the chapter?","Medical services","Investment in capacity creation","Marketing of products","Organising production","A","Medical services are not listed as a major area of interaction."
19,"Investment in capacity creation involves interaction with?","Funding agencies","Hospitals","Schools","Media houses","A","Funding agencies are important for capacity creation."
20,"Various banks are categorized as?","Funding agencies","Marketing agencies","Transport agencies","Inspection agencies","A","Banks finance capacity creation."
21,"Which organization is specifically mentioned as a design consultancy?","MECON","HAL","BEL","NALCO","A","MECON is listed as a design consultancy organization."
22,"M N Dastur & Company is associated with?","Design and consultancy","Coal mining","Rail transport","Banking","A","It is one of SAIL's consultancy organizations."
23,"Which public sector company is mentioned among capacity creation agencies?","BHEL","ONGC","GAIL","NTPC","A","BHEL is listed under design and consultancy organizations."
24,"Foreign equipment suppliers mainly support?","Capacity creation","Marketing","Recruitment","Auditing","A","They assist in plant establishment and expansion."
25,"Which company is the major source of production inputs?","Coal India Limited","Indian Airlines","BSNL","MTNL","A","Coal India Limited supplies critical raw materials."
26,"Public sector power plants mainly provide?","Power input","Marketing support","Recruitment","Consultancy","A","Power plants are important production input providers."
27,"Suppliers of refractories are associated with?","Production","Sales","Recruitment","Auditing","A","Refractories are essential production inputs."
28,"State Bank of India is specifically mentioned for providing?","Cash and credit","Raw materials","Transportation","Recruitment","A","SBI provides banking support."
29,"Foreign suppliers mainly provide?","Coking coal and refractories","Finished steel","Electricity","Rail coaches","A","Imported coking coal is a major input."
30,"Employment Exchanges assist SAIL in?","Recruitment","Marketing","Transportation","Auditing","A","Employment Exchanges support workforce recruitment."
31,"Campus recruitment is carried out through?","Universities and Professional Institutions","Municipalities","Banks","Courts","A","Campus hiring is conducted through educational institutions."
32,"Representative organizations exist for?","Executives and non-executives","Only customers","Only suppliers","Only contractors","A","Both employee categories have representative organizations."
33,"Labour disputes may involve?","Labour Courts and Tribunals","Banks","Ports","Insurance companies","A","Labour courts and tribunals resolve disputes."
34,"Imported raw materials mainly arrive through?","Shipping lines","Air transport","Metro rail","Pipeline","A","Shipping lines transport imported inputs."
35,"Foundries are categorized as?","Major customer groups","Funding agencies","Regulatory bodies","Inspection agencies","A","Foundries are important customers."
36,"Re-rollers belong to?","Customer groups","Government agencies","Transport agencies","Consultancy firms","A","Re-rollers are major buyers."
37,"Tube makers are?","Major customers","Funding agencies","Power suppliers","Auditors","A","Tube manufacturers purchase steel."
38,"Which organization is a regulating agency?","DGTD","Coal India Limited","MECON","DVC","A","DGTD is listed under regulating agencies."
39,"Which department regulates weights and measures?","Weights and Measures Department","Labour Court","State Electricity Board","Universities","A","It regulates measurement standards."
40,"SAIL depends heavily on which transport system?","Railways","Airways","Waterways only","Pipelines","A","Railways are the backbone of SAIL logistics."

41,"Which bank is specifically mentioned as providing cash and credit facilities to SAIL?","State Bank of India","Reserve Bank of India","Punjab National Bank","Canara Bank","A","The chapter specifically identifies SBI as the major banking partner for cash and credit."
42,"SAIL depends substantially on external agencies primarily because of?","Production and marketing requirements","Lack of employees","Poor technology","Lack of capital","A","Production, transportation, finance, and marketing require continuous interaction with external agencies."
43,"For uninterrupted production, SAIL depends heavily on infrastructural support from?","Railways, SEBs, CIL and vendors","Airports","Telecommunication companies","Tourism departments","A","The chapter highlights dependence on Railways, State Electricity Boards, Coal India Limited, and vendors."
44,"Which organization is primarily responsible for transporting steel to customers?","Indian Railways","Air India","Shipping Corporation only","Road Transport Offices","A","Railways play the most significant role in transporting steel."
45,"SAIL is answerable to various Government agencies because it is a?","Public Sector Unit","Private Limited Company","Joint Venture","Cooperative Society","A","SAIL is a PSU and therefore accountable to Government agencies."
46,"Which Parliamentary Committee specifically reviews SAIL's functioning?","SAIL Consultative Committee","Finance Commission","Election Commission","Planning Commission","A","The SAIL Consultative Committee periodically reviews SAIL."
47,"Which Parliamentary Committee examines the performance of public enterprises like SAIL?","Committee on Public Undertakings","Estimates Committee","Election Committee","Planning Committee","A","The Committee on Public Undertakings oversees PSU performance."
48,"Which committee examines the financial accountability of SAIL?","Public Accounts Committee","Finance Committee","Industrial Committee","Steel Committee","A","The Public Accounts Committee examines government financial accountability."
